keys,en
Text/2ad/text,Ayumi and I look at each other and laugh.
Text/2ae/text,www @
Text/2af/text,So… do you want to walk around with me?
Text/2b0/text,Very much so!
Text/2b1/text,You walk around the mall with Ayumi talking about various things
Text/2b2/text,Fashion
Text/2b3/text,Friends
Text/2b4/text,Coincidences
Text/2b5/text,[more description but Im lazy to write it]
Text/2b6/text,"In the end, we went back to the park where we used to sit on the grass. # I need to change this cuz we don't have this art"
Text/2b7/text,I had so much fun today.
Text/2b8/text,"Thanks for helping me choose my outfit, and all that…"
Text/2b9/text,My pleasure~
Text/2ba/text,Ayumi lays her head on my shoulder
Text/2bb/text,THE END.
Text/2bc/text,This is test dialogue あお
